,PR-AUC mean,PR-AUC std,ROC-AUC mean,ROC-AUC std
LogReg (balanced),0.1351014766328943,0.0026955076616659935,0.6254574923686304,0.004373126296978723
RandomForest,0.1392732782772888,0.00516308001527829,0.6276562558431003,0.00700331617576923
XGBoost,0.13565949701131005,0.003936223735712534,0.622799845617324,0.008759162503005919
